feature,importance
oi_price_correlation_zscore,159384.0703818798
cross_oi_price_agreement_zscore,28651.254445791245
price_ma_deviation_48_zscore,12091.732926130295
price_macd_line_zscore,5258.155460834503
price_ma_8_zscore,3563.0148541927338
price_return_1_zscore,2201.375123500824
price_ma_deviation_96_zscore,1940.6506323814392
price_return_12_zscore,1786.2009952068329
price_ma_deviation_24_zscore,1615.5701665878296
price_return_3_zscore,1547.0188603401184
cross_oi_price_divergence_24_zscore,1366.45816385746
lsr_change_1_zscore,1361.6083099842072
liq_on_up_move_zscore,1316.1182160377502
price_ma_96_zscore,1311.365230679512
liq_on_down_move_zscore,1272.8734298944473
orderbook_price_corr_48_zscore,1250.6185348033905
price_volatility_12_zscore,1220.3863589763641
price_volatility_48_zscore,1218.3604905605316
taker_price_corr_48_zscore,1179.4594287872314
lsr_price_corr_24_zscore,1136.095688343048
lsr_change_6_zscore,1081.2454677820206
premium_ma_24_zscore,1064.2696197032928
liq_long_short_ratio_zscore,1063.0884737968445
premium_volatility_48_zscore,1051.7446749210358
cross_taker_ob_agreement_zscore,1044.364866733551
price_atr_ratio_14_zscore,1028.7899281978607
oi_change_1_zscore,997.6368956565857
oi_change_24_zscore,945.9875316619873
price_volatility_24_zscore,945.3757712841034
premium_price_corr_48_zscore,939.446700334549
lsr_change_12_zscore,928.001703619957
lsr_relative_pos_24_zscore,911.9956521987915
oi_momentum_48_zscore,906.5608243942261
cross_oi_price_ratio_change_zscore,871.1568994522095
oi_change_12_zscore,870.6445710659027
lsr_volatility_48_zscore,865.275337934494
oi_price_divergence_12_zscore,865.2364974021912
oi_price_ratio_zscore,861.8161947727203
orderbook_price_corr_24_zscore,858.6228053569794
lsr_price_corr_48_zscore,851.972626209259
oi_volatility_12_zscore,847.9701867103577
price_atr_14_zscore,846.2046364545822
lsr_relative_pos_48_zscore,827.1544400453568
orderbook_volatility_48_zscore,818.3099229335785
oi_volatility_48_zscore,814.9383859634399
price_return_24_zscore,812.0024365186691
liq_ma_24_zscore,810.4847233295441
