feature,importance
oi_price_correlation_zscore,177139.31017947197
cross_oi_price_agreement_zscore,31840.1066634655
price_ma_deviation_48_zscore,12138.414036273956
price_macd_line_zscore,7150.656858682632
price_ma_8_zscore,3937.804595708847
price_ma_deviation_96_zscore,1982.7254130840302
price_return_1_zscore,1858.504796743393
price_return_12_zscore,1802.6590173244476
price_return_3_zscore,1751.7180705070496
price_ma_deviation_24_zscore,1617.5456504821777
lsr_change_1_zscore,1361.3648228645325
liq_on_up_move_zscore,1189.4000144004822
cross_oi_price_divergence_24_zscore,1179.8525223731995
liq_on_down_move_zscore,1162.3319308757782
premium_volatility_48_zscore,1133.7859282493591
lsr_change_12_zscore,1122.4000556468964
price_ma_96_zscore,1056.4753804206848
premium_price_corr_48_zscore,1047.7393872737885
price_atr_ratio_14_zscore,1022.3923289775848
liq_long_short_ratio_zscore,1020.8686707019806
price_volatility_48_zscore,960.1461882591248
oi_price_ratio_zscore,955.7082552909851
premium_ma_24_zscore,952.343353509903
orderbook_price_corr_48_zscore,951.8394913673401
price_volatility_12_zscore,920.708423614502
taker_price_corr_48_zscore,909.9108619689941
price_volatility_24_zscore,901.2325551509857
oi_change_24_zscore,900.7503061294556
cross_taker_ob_agreement_zscore,897.7651524543762
price_atr_14_zscore,879.5031652450562
lsr_price_corr_24_zscore,871.4600954055786
lsr_change_6_zscore,870.6444685459137
cross_oi_price_ratio_change_zscore,862.9206495285034
oi_price_divergence_12_zscore,858.5003788471222
lsr_relative_pos_24_zscore,852.5262396335602
orderbook_price_corr_12_zscore,838.1801912784576
orderbook_volatility_48_zscore,836.9901156425476
premium_price_corr_24_zscore,821.2141852378845
lsr_volatility_48_zscore,815.5120775699615
lsr_price_corr_48_zscore,812.8747799396515
oi_momentum_48_zscore,805.8830301761627
oi_volatility_48_zscore,783.0861127376556
oi_volatility_12_zscore,781.2332799434662
oi_change_12_zscore,776.2708513736725
oi_volatility_24_zscore,775.7427587509155
lsr_relative_pos_48_zscore,763.0486743450165
orderbook_price_corr_24_zscore,749.5984222888947
liq_ma_24_zscore,747.7566108703613
oi_change_3_zscore,731.366491317749
price_return_24_zscore,731.0964739322662
taker_buy_sell_ratio_zscore,723.6592223644257
price_ma_48_zscore,716.3262097835541
price_rsi_28_zscore,694.7472672462463
oi_change_1_zscore,676.5327484607697
orderbook_volatility_24_zscore,674.4300620555878
lsr_relative_pos_96_zscore,673.3630073070526
liq_spike_12_zscore,671.260326385498
price_ma_24_zscore,628.7369637489319
liq_skew_zscore,621.8625590801239
premium_ma_6_zscore,613.2229866981506
premium_ma_12_zscore,610.7168939113617
cross_taker_ob_corr_24_zscore,600.9099187850952
price_macd_hist_zscore,597.1398839950562
cross_oi_price_divergence_12_zscore,570.3187057971954
taker_buy_pressure_zscore,564.1708414554596
taker_price_corr_24_zscore,560.4544591903687
price_rsi_14_zscore,551.5604221820831
oi_price_divergence_24_zscore,536.3136110305786
liq_spike_48_zscore,515.07821393013
lsr_volatility_24_zscore,502.9506747722626
liq_volatility_48_zscore,487.5339081287384
taker_buy_ma_24_zscore,482.66549825668335
liq_volatility_12_zscore,474.18229055404663
liq_volatility_24_zscore,472.26997685432434
lsr_ma_24_zscore,472.2630434036255
premium_volatility_24_zscore,436.57000708580017
price_macd_signal_zscore,427.1220602989197
liq_ma_12_zscore,405.34900975227356
taker_buy_ma_12_zscore,398.97904419898987
lsr_price_corr_12_zscore,393.32204008102417
taker_price_corr_12_zscore,392.4797296524048
orderbook_bid_change_3_zscore,388.91253995895386
lsr_ma_12_zscore,381.63287687301636
price_atr_28_zscore,328.1729803085327
premium_price_corr_12_zscore,322.31152963638306
orderbook_bid_ma_12_zscore,315.08609080314636
cross_taker_ob_corr_12_zscore,305.1508755683899
orderbook_bid_ma_24_zscore,304.29564023017883
premium_volatility_12_zscore,300.7759346961975
liq_ma_6_zscore,292.39281487464905
taker_sell_ma_24_zscore,289.53677201271057
price_atr_ratio_28_zscore,262.01325011253357
lsr_volatility_12_zscore,255.12496519088745
premium_streak_zscore,247.06573939323425
price_ma_deviation_8_zscore,230.98400211334229
premium_relative_pos_24_zscore,222.74947810173035
orderbook_ask_ma_24_zscore,220.43074107170105
orderbook_ask_ma_12_zscore,211.21431469917297
taker_buy_ma_6_zscore,197.91449117660522
premium_change_12_zscore,194.37051439285278
orderbook_volatility_12_zscore,189.25892424583435
liq_spike_24_zscore,161.43739914894104
premium_abs_zscore,158.27895259857178
taker_sell_ma_6_zscore,156.59058904647827
cross_oi_price_ratio_zscore,154.50229501724243
orderbook_skew_zscore,138.55069541931152
orderbook_ask_change_3_zscore,132.69993424415588
taker_sell_ma_12_zscore,129.10159015655518
oi_momentum_24_zscore,126.9541540145874
orderbook_bid_ma_6_zscore,114.815025806427
premium_relative_pos_96_zscore,113.01206111907959
premium_sign_zscore,107.3064353466034
premium_relative_pos_48_zscore,106.17900538444519
oi_momentum_12_zscore,94.45637488365173
lsr_ma_6_zscore,90.3557596206665
orderbook_ratio_change_3_zscore,90.08900499343872
orderbook_ask_ma_6_zscore,90.07046103477478
lsr_change_3_zscore,81.1106014251709
taker_pressure_ma_24_zscore,78.81578969955444
price_return_6_zscore,75.09954881668091
orderbook_ask_change_6_zscore,73.3564887046814
premium_change_3_zscore,67.80911016464233
orderbook_bid_change_6_zscore,57.42385959625244
orderbook_ratio_ma_24_zscore,51.10540056228638
premium_change_6_zscore,48.34500980377197
taker_pressure_ma_12_zscore,39.817055463790894
orderbook_ratio_ma_12_zscore,33.91120004653931
orderbook_ratio_ma_6_zscore,32.770700454711914
premium_change_1_zscore,19.770410537719727
orderbook_ratio_change_6_zscore,17.83921480178833
oi_change_6_zscore,16.32303524017334
taker_pressure_ma_6_zscore,9.492850303649902
orderbook_bid_change_1_zscore,9.175045013427734
orderbook_ask_change_1_zscore,9.131335258483887
taker_total_ma_24_zscore,0.0
taker_total_ma_12_zscore,0.0
taker_total_zscore,0.0
taker_total_ma_6_zscore,0.0
orderbook_ratio_change_1_zscore,0.0
taker_slope_12_zscore,0.0
taker_volatility_24_zscore,0.0
taker_volatility_12_zscore,0.0
taker_slope_6_zscore,0.0
taker_volatility_48_zscore,0.0
taker_slope_24_zscore,0.0
